name,time,CH4
CH_4,1709336958293600218,4.00
CH_4,1709336959025436417,2.00
CH_4,1709336960789067722,1.00
CH_4,1709336960983672667,5.00
CH_4,1709336961853090300,3.00
CH_4,1709336962846484505,3.00
CH_4,1709339053063412682,1.00
CH_4,1709339058053634553,5.00
CH_4,1709339063052577224,1.00
CH_4,1709339068960163051,1.00
CH_4,1709339073972266658,0.00
CH_4,1709339078748576257,3.00
CH_4,1709339083767377750,5.00
CH_4,1709339088755021426,2.00
CH_4,1709339093763238519,5.00
CH_4,1709339098750566303,2.00
CH_4,1709339103760649735,1.00
CH_4,1709339108749283965,0.00
CH_4,1709339113774586505,1.00
CH_4,1709339118747575987,4.00
CH_4,1709339123762737720,0.00
CH_4,1709339128748626109,5.00
CH_4,1709339133772800825,3.00
CH_4,1709339138753486880,2.00
CH_4,1709339143764587778,2.00
CH_4,1709339148761612626,1.00
CH_4,1709339153769752953,5.00
CH_4,1709339158758316311,3.00
CH_4,1709339163769981411,0.00
CH_4,1709339594882531169,2.00
CH_4,1709339596579375140,3.00
CH_4,1709339613524501737,0.00
CH_4,1709711735821650893,1.00
CH_4,1709711735908727760,4.00
CH_4,1709711735959591445,3.00
CH_4,1709711736153086821,5.00
CH_4,1709711740181962044,4.00
CH_4,1709711740731234980,4.00
CH_4,1709711741129638371,4.00
CH_4,1709711741416690760,1.00
CH_4,1709711741693676286,2.00
CH_4,1709711743096466447,2.00
CH_4,1709711743196599859,1.00
CH_4,1709711746085871050,1.00
CH_4,1709711749111861787,1.00
CH_4,1709711957214252125,5.00
CH_4,1709711962105370308,1.00
CH_4,1709711967136369957,1.00
CH_4,1709711972107949934,3.00
CH_4,1709711977084154250,2.00
CH_4,1709711982080512882,1.00
CH_4,1709711987090096620,5.00
CH_4,1709711992090190034,3.00
CH_4,1709711997096154818,0.00
CH_4,1709712002102117388,2.00
CH_4,1709712007128760262,2.00
CH_4,1709712012106919804,4.00
CH_4,1709712017138211211,2.00
CH_4,1709712022135982336,4.00
CH_4,1709712027120433406,4.00
CH_4,1709712032115344017,5.00
CH_4,1709712037257627375,1.00
CH_4,1709712042238886969,2.00
CH_4,1709712047196761266,1.00
CH_4,1709712052133948335,1.00
CH_4,1709712057261733545,5.00
CH_4,1709712062185006580,3.00
CH_4,1709712067172852137,1.00
CH_4,1709712072162135743,2.00
CH_4,1709712077251315923,2.00
CH_4,1709712082217971240,1.00
CH_4,1709712087222880323,5.00
CH_4,1709712092230393597,4.00
CH_4,1709712097466318325,5.00
CH_4,1709712102304264299,0.00
CH_4,1709712107311157248,3.00
CH_4,1709712112293383812,2.00
CH_4,1709712117483430250,3.00
CH_4,1709712122345929223,4.00
CH_4,1709712127362636809,4.00
CH_4,1709712132350814529,4.00
CH_4,1709712137411462464,1.00
CH_4,1709712142379430440,3.00
CH_4,1709712147375059753,0.00
CH_4,1709712152396807020,1.00
CH_4,1709712157477867286,4.00
CH_4,1709712162452337358,4.00
CH_4,1709712167434991200,4.00
CH_4,1709712172458071459,6.00
CH_4,1709712177522774489,1.00
CH_4,1709712182492279182,2.00
CH_4,1709712187487140113,3.00
