name,time,H2
H_2,1709336958291428712,2.00
H_2,1709336959021560698,3.00
H_2,1709336960788701733,4.00
H_2,1709336960982942773,1.00
H_2,1709336961852619155,0.00
H_2,1709336962846063569,2.00
H_2,1709339053061843104,0.00
H_2,1709339058050982375,2.00
H_2,1709339063051868633,1.00
H_2,1709339068959859302,3.00
H_2,1709339073966939749,1.00
H_2,1709339078748021520,4.00
H_2,1709339083765161091,3.00
H_2,1709339088751855760,3.00
H_2,1709339093762238731,2.00
H_2,1709339098747893551,4.00
H_2,1709339103759123542,2.00
H_2,1709339108748341728,0.00
H_2,1709339113773232759,4.00
H_2,1709339118746151981,4.00
H_2,1709339123759419397,1.00
H_2,1709339128747594029,2.00
H_2,1709339133771973380,4.00
H_2,1709339138751905427,5.00
H_2,1709339143763322522,2.00
H_2,1709339148761254241,5.00
H_2,1709339153767463013,3.00
H_2,1709339158756669910,1.00
H_2,1709339163768586415,1.00
H_2,1709339594881142945,0.00
H_2,1709339596577539313,4.00
H_2,1709339613522515650,1.00
H_2,1709711735819889853,3.00
H_2,1709711735905245733,3.00
H_2,1709711735958915820,1.00
H_2,1709711736151094271,3.00
H_2,1709711740181302306,0.00
H_2,1709711740729623055,4.00
H_2,1709711741124667856,1.00
H_2,1709711741415109928,5.00
H_2,1709711741694476546,0.00
H_2,1709711743096087229,4.00
H_2,1709711743196018245,4.00
H_2,1709711746085137248,1.00
H_2,1709711749110436424,4.00
H_2,1709711957205018963,2.00
H_2,1709711962102619427,4.00
H_2,1709711967134345064,5.00
H_2,1709711972106032593,5.00
H_2,1709711977082497847,1.00
H_2,1709711982078152000,3.00
H_2,1709711987087964905,1.00
H_2,1709711992089140192,3.00
H_2,1709711997093650135,0.00
H_2,1709712002099969944,3.00
H_2,1709712007126345734,1.00
H_2,1709712012097642736,1.00
H_2,1709712017136836266,1.00
H_2,1709712022134234527,4.00
H_2,1709712027115332321,1.00
H_2,1709712032112949125,4.00
H_2,1709712037255326285,0.00
H_2,1709712042233105260,3.00
H_2,1709712047195137258,1.00
H_2,1709712052132186098,1.00
H_2,1709712057259746985,0.00
H_2,1709712062183657363,1.00
H_2,1709712067171164797,3.00
H_2,1709712072161039026,3.00
H_2,1709712077249909728,2.00
H_2,1709712082211486408,3.00
H_2,1709712087221098451,0.00
H_2,1709712092227282769,1.00
H_2,1709712097462743800,1.00
H_2,1709712102303800081,1.00
H_2,1709712107306425642,2.00
H_2,1709712112289400278,2.00
H_2,1709712117482771501,5.00
H_2,1709712122344398913,1.00
H_2,1709712127362892173,2.00
H_2,1709712132349182084,0.00
H_2,1709712137409913665,1.00
H_2,1709712142378972680,5.00
H_2,1709712147372124289,0.00
H_2,1709712152394368431,1.00
H_2,1709712157474233594,3.00
